Title,DataProvider,SourceUrl,Citation,UpstreamLicense,LicenseEvidenceUrl
omniager_abec_coef,Lee Y et al.,https://doi.org/10.1186/s12864-020-07168-8,"Lee Y, Haftorn KL, Denault WRP, et al. Blood-based epigenetic estimators of chronological age in human adults using DNA methylation data from the Illumina MethylationEPIC array. BMC Genomics. 2020;21:747. https://doi.org/10.1186/s12864-020-07168-8",CC BY 4.0,https://doi.org/10.1186/s12864-020-07168-8
omniager_anage_data,Lu AT et al.,https://zenodo.org/records/7574747,"Lu AT, Fei Z, Haghani A, et al. Universal DNA methylation age across mammalian tissues. Nature Aging. 2023;3:1144-1166. https://doi.org/10.1038/s43587-023-00462-6",MIT in linked GitHub repository; Zenodo record has a blank Rights/License field,https://github.com/shorvath/MammalianMethylationConsortium/blob/v2.0.0/LICENSE
omniager_bernabeu_cage_coef,Bernabeu E et al.,https://github.com/elenabernabeu/cage_bage/tree/main/cage_predictor,"Bernabeu E, McCartney DL, Gadd DA, et al. Refining epigenetic prediction of chronological and biological age. Genome Medicine. 2023;15:12. https://doi.org/10.1186/s13073-023-01161-y",CC BY 4.0 for the article; CC0-1.0 for data made available in the article;,https://pmc.ncbi.nlm.nih.gov/articles/PMC9976489/
omniager_beta_c46,Salignon J et al.,https://github.com/jsalignon/pasta,"Salignon J, Tsiokou M, Marqu谷s P, et al. Pasta, a versatile transcriptomic clock, maps the chemical and genetic determinants of aging and rejuvenation. bioRxiv. 2025. https://doi.org/10.1101/2025.06.04.657785",MIT,https://github.com/jsalignon/pasta/blob/main/LICENSE
omniager_beta_pasta,Salignon J et al.,https://github.com/jsalignon/pasta,"Salignon J, Tsiokou M, Marqu谷s P, et al. Pasta, a versatile transcriptomic clock, maps the chemical and genetic determinants of aging and rejuvenation. bioRxiv. 2025. https://doi.org/10.1101/2025.06.04.657785",MIT,https://github.com/jsalignon/pasta/blob/main/LICENSE
omniager_bohlin_ga_coef,Bohlin J et al.,https://zenodo.org/badge/latestdoi/23951/JonBohlin/predictGA,"Bohlin J, Haberg SE, Magnus P, et al. Prediction of gestational age based on genome-wide differentially methylated regions. Genome Biology. 2016;17:207. https://doi.org/10.1186/s13059-016-1063-4; Bohlin J. predictGA (v1.0.0) [software]. Zenodo. 2016. https://doi.org/10.5281/zenodo.60498","GPL-2.0-or-later for the predictGA software repository; the associated article is licensed under CC BY 4.0 and the data made available in the article are subject to CC0-1.0, unless otherwise stated.",https://github.com/JonBohlin/predictGA/blob/v1.0.0/DESCRIPTION
omniager_brain_celltype_specific_clocks_coef,Muralidharan C et al.,https://doi.org/10.1002/advs.202506109,"Muralidharan C, Zakar-Poly芍k E, Adami A, et al. Human Brain Cell-Type-Specific Aging Clocks Based on Single-Nuclei Transcriptomics. Advanced Science. 2025;12(43):e06109. https://doi.org/10.1002/advs.202506109",CC BY 4.0,https://doi.org/10.1002/advs.202506109
omniager_cabec_coef,Lee Y et al.,https://doi.org/10.1186/s12864-020-07168-8,"Lee Y, Haftorn KL, Denault WRP, et al. Blood-based epigenetic estimators of chronological age in human adults using DNA methylation data from the Illumina MethylationEPIC array. BMC Genomics. 2020;21:747. https://doi.org/10.1186/s12864-020-07168-8",CC BY 4.0,https://doi.org/10.1186/s12864-020-07168-8
omniager_causal_clocks_coef,Ying K et al.,https://doi.org/10.1038/s43587-023-00557-0,"Ying K, Liu H, Tarkhov AE, et al. Causality-enriched epigenetic age uncouples damage and adaptation. Nature Aging. 2024;4:231每246. https://doi.org/10.1038/s43587-023-00557-0",Publisher copyright,https://www.nature.com/articles/s43587-023-00557-0
omniager_centenarian_coef,Dec E et al.,https://doi.org/10.1007/s11357-023-00731-7,"Dec E, Clement J, Cheng K, et al. Centenarian clocks: epigenetic clocks for validating claims of exceptional longevity. GeroScience. 2023;45(3):1817每1835. https://doi.org/10.1007/s11357-023-00731-7",CC BY 4.0,https://doi.org/10.1007/s11357-023-00731-7
omniager_chip_cpg,Kirmani S et al.,https://doi.org/10.1038/s41467-025-59333-w,"Kirmani S, Huan T, Van Amburg JC, et al. Epigenome-wide DNA methylation association study of CHIP provides insight into perturbed gene regulation. Nature Communications. 2025;16:4678. https://doi.org/10.1038/s41467-025-59333-w",CC BY 4.0,https://doi.org/10.1038/s41467-025-59333-w
